lot,n,tipologie
http://w3id.org/zac/81913_lot_5,15,BRONZI; FERRI; OGGETTI VARI IN METALLO | BOTTIGLIE | BASTONI; OMBRELLI; MAZZE | ARMI | MOBILI | MODELLI | OGGETTI VARI | PIATTI | PENDOLE; OROLOGI | OMBRELLI | PORCELLANE; MAIOLICHE | Porcellane; Maioliche | SCULTURE | Porcellane; maioliche | STAMPE E INCISIONI | STOFFE; TAPPETI | Stoffe; Tappeti | SCATOLE; TABACCHIERE | Stoffe; tappeti
http://w3id.org/zac/87358_lot_2,15,ARGENTI | BRONZI | DIPINTI | CORNICI | AVORI | ARMI | MINIATURE | OGGETTI IN PELLE | OGGETTI IN FERRO | OGGETTI IN LEGNO | STAGNI | VETRI | SMALTI | TESSUTI | TERRECOTTE
http://w3id.org/zac/87363_lot_2,15,Bilder; Miniaturen | Bronce; Messingwaaren | MOBILI | Kostumstucke; Kostume; Stickereien | Fayence; glasirte Thonwaaren | Kriegs- und Jagd-Waffen; Jagdgerathschaften | OGGETTI IN LATTA | OGGETTI IN FERRO | OGGETTI IN LEGNO | OGGETTI VARI | OROLOGI | Rahmen; Spiegel; Schnitzereien | VETRI | TESSUTI | VASI
http://w3id.org/zac/87363_lot_3,15,CORNICI | Bronce; Messingwaaren | MOBILI | Kriegs- und Jagd-Waffen; Jagdgerathschaften | Kostumstucke; Kostume; Stickereien | Fayence; glasirte Thonwaaren | OROLOGI | OGGETTI IN LEGNO | OGGETTI IN LATTA | OGGETTI IN FERRO | OGGETTI VARI | OGGETTI IN PELLE | SPARTITI MUSICALI | TESSUTI | VETRI
http://w3id.org/zac/87363_lot_6,15,BRONZI | Bilder; Miniaturen | Bronce; Messingwaaren | Kriegs- und Jagd-Waffen; Jagdgerathschaften | Kostumstucke; Kostume; Stickereien | MOBILI | OROLOGI | OGGETTI VARI | OGGETTI IN LEGNO | OGGETTI IN FERRO | OGGETTI IN LATTA | VETRI | SPARTITI MUSICALI | TESSUTI | VASI
http://w3id.org/zac/88058_lot_10,15,BIANCHERIA | CORNICI | ARREDAMENTI | MOBEL; SPIEGEL; STANDUHREN | DOSEN; TASCHENUHREN; FACHER | FAYENCE; MAJOLIKA; STEINGUT; GLAS | MINIATUREN; OLBILDER; STICHE | OGGETTI IN LATTA | OGGETTI VARI | OGGETTI IN LEGNO | OGGETTI IN RAME | OGGETTI IN ORO | PIATTI | VASI | SILBER; EMAIL; DOSEN; TASCHENUHREN; FACHER
http://w3id.org/zac/88485_lot_1,15,BRONZI | BAULI | Messer | Holzschnitzereien; Skulpturen | MOBILI | MAIOLICHE | Gold; Silber; Uhren; Schmuck | OGGETTI D'ARTE ORIENTALE | OGGETTI IN LEGNO | OGGETTI VARI | OGGETTI IN LATTA | OGGETTI IN ORO | VETRI | Stickereien; Stoffe | Porzellan; Fayence | PORZELLAN; FAYENCE
http://w3id.org/zac/88550_lot_2,15,BIANCHERIA | BRONZI | MINIATUREN; DOSEN | DISEGNI | MAIOLICHE | DIPINTI | Miniaturen; Dosen | OGGETTI IN LEGNO | OGGETTI IN ORO | OGGETTI IN CERA | OGGETTI IN LATTA | SCOMPARTI | VASI | PORCELLANE | Stoffe; Stickereien | PIATTI
http://w3id.org/zac/81799_lot_2,14,BRONZI | ARGENTI | CORNICI | GIOIELLI | LIBRI | MOBILI | MAIOLICHE | MONETE | MARMI | OGGETTI VARI | OGGETTI IN LEGNO | REPERTI ARCHEOLOGICI | TESSUTI | VASI
http://w3id.org/zac/81913_lot_3,14,COPPE | ARMI | BRONZI; FERRI; OGGETTI VARI IN METALLO | MAIOLICHE | MOBILI | OROLOGI | PIATTI | OGGETTI VARI | OMBRELLI | OGGETTI LITURGICI | Porcellane; maioliche | Stoffe; tappeti | Stoffe; Tappeti | STOFFE; TAPPETI | SCATOLE | STAMPE E INCISIONI | PORCELLANE; MAIOLICHE | Porcellane; Maioliche
